GEOMETRY;Codigo;EPSG
POLYGON ((-255730.343037767 4007310.77337503, -255493.01655127236 4007243.638570256, -255190.84027876332 4006873.496431311, -255100.36890631588 4006920.8398847794, -255123.62833017565 4006790.93512685, -254727.14109823247 4006426.8049312835, -254103.0101249183 4006067.2454579594, -253784.73351966706 4005144.529111637, -253159.0515979532 4004512.624344228, -252944.63204251835 4004428.7697370434, -252281.66992697841 4004607.829712271, -252158.3136645134 4004786.9985381756, -251883.09810859757 4004912.654004818, -251649.58041316073 4004874.2523204037, -251212.7782345845 4004578.245382393, -250880.80496814754 4004484.0909944507, -250983.35448981065 4004413.0480436645, -250972.88460910483 4004460.5463571963, -251215.66042051383 4004516.407911248, -251654.2078958085 4004817.8179230816, -251916.51626990794 4004842.623284912, -252119.97614654189 4004750.0883776485, -251520.8302737635 4004069.928194107, -251648.5458187532 4004054.6381910685, -251478.89787775278 4003982.1264569745, -251195.440835531 4004196.7678778074, -251540.909964317 4003807.481485712, -251143.73867289512 4003698.4634341556, -251103.96707945282 4003816.247141853, -251262.7455314895 4003933.460652889, -251083.01851913217 4003826.2966788686, -251016.8047292576 4003707.247871752, -250325.24264379987 4003824.7923769075, -250049.12391241232 4004088.534088934, -250054.33990602486 4004244.647962078, -250576.44283890666 4004398.9613626534, -249966.62993842154 4004280.5645120214, -249619.9246702782 4004982.347322877, -248921.7853363892 4005149.8870315803, -248741.5430106792 4005389.8077374226, -248343.1736216169 4005060.139573953, -248331.5784320687 4004788.1818553945, -248134.08625141624 4004674.3745669085, -247888.67133685248 4004735.315283613, -247950.31641409593 4004435.6265217834, -247866.29546160088 4004420.5985637857, -248077.57120957854 4004247.8872457882, -248116.77782094514 4004037.8077148353, -248323.34136789595 4004127.724687117, -248752.8658080101 4003690.464940249, -249405.52409754798 4003503.2059621694, -249613.80410293431 4003654.991354104, -249979.47345048166 4003267.97029907, -250512.88226030837 4003134.586015749, -250959.40916119947 4003246.405152931, -251345.84986306285 4003515.5931304437, -251698.49211182678 4003548.249782513, -252527.64927402488 4002667.7989389226, -253077.8195754363 4002817.5383941815, -253432.0238219807 4002731.2969538937, -254067.04581245838 4001950.2434680834, -254423.58463406237 4002114.2196095223, -254566.62921115675 4002511.5585900364, -254733.12806796504 4002195.885169866, -255081.57439692505 4002223.2347431704, -255219.04739418067 4002433.4199747746, -255389.05730194866 4002442.1712589073, -255505.6360864523 4002786.4463745416, -256215.66600373422 4003065.5820792764, -256511.50702383614 4003337.2506983643, -256782.8766919697 4004227.094433316, -256664.69560708827 4004732.5695470753, -256909.09882597707 4004985.9341260875, -256730.600881145 4005926.60337382, -256949.15258592472 4006650.0728796097, -257129.76233253058 4006829.1599151744, -256771.34919267567 4007262.0289115445, -255986.77924137784 4007197.0679236157, -255730.343037767 4007310.77337503));18;25831
POLYGON ((827833.5249099128 3980907.368682175, 828075.9218153246 3980870.1445327136, 828419.3660056201 3980541.8475093395, 828502.8525843725 3980599.628322964, 828495.7853542366 3980468.595905807, 828931.5599158411 3980157.7555780387, 829591.4192888212 3979879.2508960725, 830018.3065779367 3979007.604408149, 830712.9937741745 3978460.497176454, 830934.8430340067 3978403.953177269, 831567.2080723001 3978661.6946387733, 831667.0437484982 3978853.589772132, 831923.2868582424 3979011.2388123027, 832158.435564735 3979001.886964199, 832625.6958849662 3978763.1553730797, 832964.8301385818 3978710.8137421673, 832872.3074520624 3978628.1658674283, 832876.8342573531 3978676.321939227, 832630.4102919006 3978701.7758134133, 832160.7674804316 3978945.6270321286, 831898.8679478539 3978938.0418856596, 831709.3898488365 3978821.8504842003, 832383.8129198912 3978223.8465406704, 832259.6405204716 3978193.147234044, 832435.9270047589 3978142.3207519962, 832689.4352451543 3978388.7949951733, 832396.0726324149 3977962.385877332, 832801.3637402175 3977903.336833136, 832826.2193023317 3978024.438715812, 832655.1948651961 3978120.7110252324, 832845.6652745733 3978036.916946155, 832925.5618379219 3977927.519543231, 833593.7086626808 3978128.047987751, 833833.9815482376 3978422.090638753, 833809.7516159909 3978575.526457541, 833275.6142976364 3978664.0025097616, 833891.9249752522 3978621.6947841714, 834148.3106675672 3979356.6913242694, 834816.8532828954 3979607.397615162, 834965.4105039088 3979866.226427973, 835398.894063218 3979589.562737786, 835443.5874572569 3979322.565994889, 835652.4206355943 3979234.385399938, 835887.1900395344 3979324.535807742, 835862.9849172035 3979021.211793027, 835947.749403982 3979016.6508204844, 835760.3369764269 3978820.3602556847, 835747.3208682721 3978608.2232565572, 835532.4560591469 3978671.7194602042, 835161.975345037 3978187.6557101635, 834540.7165903946 3977923.070377082, 834316.6044031789 3978047.418596687, 834003.0107134068 3977620.7622116567, 833492.8747502912 3977423.9356806525, 833038.5256156197 3977479.724507315, 832624.2490818034 3977698.161500179, 832272.2376836479 3977687.2939924314, 831561.5462453268 3976717.074993258, 831000.3074431509 3976797.6258056415, 830661.2974980227 3976669.240809806, 830130.0523074705 3975820.8854418304, 829758.1782792811 3975939.147554368, 829568.4779029512 3976313.775163669, 829442.7383264399 3975981.922771945, 829095.5465555609 3975966.345235748, 828934.2108215825 3976156.96287515, 828765.3759659776 3976144.8294072337, 828608.2768647405 3976470.3162197364, 827873.5277155156 3976659.0146171716, 827548.4083995031 3976890.942869462, 827171.8981063968 3977735.844599949, 827226.7386353177 3978249.0675103352, 826954.6068489274 3978469.2039072695, 827015.7545934923 3979419.226215036, 826711.649638478 3980106.38534616, 826511.5384904507 3980261.013996249, 826812.2678824388 3980731.968153027, 827594.387402032 3980763.809036876, 827833.5249099128 3980907.368682175));18;25829
POLYGON ((286417.45600858843 3977394.6774942707, 286656.9252970413 3977342.671947096, 286979.3055118538 3976994.1642280812, 287066.1169845492 3977046.6669051345, 287051.02551967395 3976916.4165143217, 287466.56187720504 3976579.655790635, 288107.56835285155 3976261.3955819104, 288479.8249048724 3975365.8832350695, 289139.0819012448 3974777.619266987, 289356.8662182778 3974707.616395571, 290003.34205721575 3974925.8670823667, 290114.68216562667 3975111.1192952446, 290379.90640580724 3975252.620485905, 290613.84573933086 3975228.8657562076, 291065.1935163866 3974962.1114820107, 291400.19653242716 3974889.1048717983, 291302.8543385677 3974812.35777447, 291310.3233290572 3974860.105446911, 291066.1293080164 3974900.6090355767, 290612.7194068668 3975172.614892129, 290351.0622857617 3975181.1195478463, 290154.96663032856 3975076.867461776, 290790.8789329836 3974439.1028968063, 290665.15920018865 3974416.1042162282, 290837.8506550235 3974354.600778175, 291105.79265946976 3974584.855332138, 290787.06614248035 3974177.5977843856, 291187.63708202593 3974093.8470509257, 291219.8539760349 3974213.0958050573, 291055.1989633816 3974319.5985064236, 291240.0126667415 3974224.347302381, 291312.98171121196 3974110.3455834705, 291991.6136431144 3974269.3427344766, 292249.2703137576 3974547.8445753134, 292234.5195387731 3974702.3486230406, 291707.26438691386 3974823.3535445095, 292319.30129440385 3974743.349730683, 292620.0830933732 3975460.6098342813, 293302.18035437306 3975669.607712681, 293466.2130961124 3975918.610877381, 293881.5295154574 3975616.106602241, 293909.7172329997 3975347.101244114, 294112.5656692057 3975246.3496904173, 294352.2201998823 3975321.847201308, 294309.4711490361 3975020.843627674, 294393.7223522534 3975011.0946279126, 294194.78309249924 3974826.8426659927, 294168.7882989453 3974616.0879522776, 293958.40981374105 3974692.591198225, 293559.25098995504 3974232.584299188, 292923.46375905786 3974006.832803768, 292707.59183816955 3974144.58847528, 292368.6831957481 3973738.3324242816, 291847.86420015176 3973573.331689635, 291398.17151937424 3973656.8366824016, 290998.4168475224 3973900.0921805142, 290646.6916454872 3973910.8463586075, 289878.41126259894 3972986.835506706, 289323.6223684903 3973101.5896092877, 288977.64869386336 3972994.340292004, 288395.8025779403 3972180.8341404554, 288032.17364309746 3972321.583065855, 287865.95232201146 3972706.843985376, 287720.19793444546 3972383.586956419, 287372.9753722096 3972389.340862761, 287223.7577227807 3972589.3450080534, 287054.62743537757 3972587.597292521, 286917.9061339782 3972921.8540506624, 286196.67656240123 3973155.1142600817, 285886.64130608237 3973406.3700736905, 285562.9511750714 3974272.137603681, 285649.13310202316 3974780.6424876214, 285391.22514558706 3975016.8950619586, 285510.5074752897 3975960.6612602524, 285249.37719633686 3976664.6737319673, 285059.28377380024 3976831.1780810477, 285388.1301078138 3977282.432337149, 286170.13894897455 3977266.177801095, 286417.45600858843 3977394.6774942707));18;25830
POLYGON ((-597463.509300004 4289284.866899995, -597166.7398999988 4289227.657899997, -596758.9222999967 4288805.790899996, -596653.470399999 4288873.398500002, -596668.1928999985 4288711.671599995, -596145.9304999992 4288307.131300004, -595346.3282999981 4287932.201299997, -594860.9679999999 4286834.586299996, -594031.0617000008 4286125.898199998, -593760.5884999975 4286045.6862, -592970.2399999996 4286334.958800005, -592838.4503999967 4286567.576599996, -592515.7026999973 4286750.566799999, -592226.6657000014 4286728.042599995, -591662.5639000045 4286411.064999993, -591247.5375999972 4286330.507700003, -591365.2731999982 4286232.645999997, -591357.4609000029 4286291.974199999, -591659.6137999975 4286334.954799999, -592226.4069000024 4286658.371299998, -592549.1581999991 4286661.199899997, -592787.793799999 4286526.361199997, -591985.3626000016 4285755.5645, -592139.6313000002 4285723.400600003, -591925.0020999977 4285652.3403, -591601.5066000024 4285945.235699995, -591982.4140000038 4285431.742799993, -591486.3042 4285339.826199999, -591450.0802000015 4285488.383299997, -591656.1135000025 4285615.3914, -591425.5647000012 4285502.9020000035, -591332.3112 4285363.922300006, -590500.5856000017 4285580.590399998, -590191.129599999 4285932.869199991, -590213.7974000017 4286123.704699996, -590867.1582000027 4286258.0994000025, -590110.4949000018 4286176.935099997, -589760.5806999977 4287073.672899997, -588925.8638000026 4287352.267099996, -588730.863699998 4287665.322499998, -588210.1889000048 4287302.827999996, -588167.6895999961 4286970.595499994, -587914.7562999986 4286851.729499998, -587621.530599999 4286952.126299994, -587665.5650999977 4286578.237799999, -587561.4397000013 4286568.601899995, -587801.3425999964 4286334.750200003, -587827.3169000002 4286073.090300004, -588088.8133000007 4286161.7142999945, -588567.5053999986 4285580.697800001, -589344.5415000002 4285282.789599992, -589614.5742999957 4285447.0335, -590020.4626999998 4284934.281799997, -590657.4983999967 4284714.846399998, -591214.1016999984 4284805.055100003, -591713.8383000011 4285094.440900001, -592147.6063000013 4285097.424599995, -593067.2736000024 4283931.119199992, -593754.2732999967 4284056.768799994, -594177.4308999978 4283913.792800004, -594870.3437999994 4282889.744199999, -595322.5337999956 4283053.126000002, -595538.7507000022 4283524.974600001, -595708.7589000048 4283120.576600001, -596136.7459999993 4283117.349399996, -596326.541700003 4283360.416799993, -596534.8807000014 4283353.203299995, -596713.2877999992 4283762.795499998, -597608.9332000011 4284029.887299999, -597998.4737999963 4284331.549500002, -598423.2777999983 4285393.408899998, -598332.3084000007 4286025.447499999, -598657.2470999995 4286310.132799996, -598538.546700001 4287482.0770000005, -598881.5612000005 4288345.824499998, -599120.8922000019 4288546.239600004, -598729.0765999989 4289114.9010999985, -597764.5539000005 4289118.324299996, -597463.509300004 4289284.866899995));18;3857
