GEOMETRY;Codigo;EPSG
POLYGON ((-41380.185256371275 3924824.3332501897, -41099.290122063016 3924358.377935771, -40696.52748841385 3924234.830528904, -40967.773809950566 3923536.3679359737, -40531.170538237784 3922881.082739692, -40255.53059027274 3922810.2276723525, -39955.45599015092 3922138.0984608307, -40006.65571416821 3921924.8001759574, -39897.13811088016 3921889.8457026035, -39818.836933319806 3922059.6113275336, -39700.55921959272 3921792.308165545, -39049.33160376584 3921706.2001948683, -38909.37310982926 3921344.4105347777, -39011.00272128917 3921351.561332646, -39071.77016406704 3921627.580197538, -39353.59262165357 3921665.0565457707, -39404.203249326674 3921486.086270426, -39455.66297982074 3921681.0701585743, -39662.85674536985 3921708.6721275556, -39651.44923221809 3921557.7112284433, -39924.76104631508 3921539.446124832, -39926.66886568826 3921709.890433014, -40046.522586806095 3921630.8548021307, -39967.21367070987 3921541.2908660593, -40062.160762397456 3921404.566208542, -39780.422538302955 3921345.9276490314, -40070.426761569805 3921369.519630264, -40172.880485840724 3921227.67827197, -40244.76494078571 3920701.61363111, -40122.4642307231 3920641.4552551582, -40226.581452859566 3920499.7963250484, -40089.93172171037 3920117.787047005, -39783.945121824276 3919726.6294292994, -39423.40363754635 3919640.7708825325, -39129.824490598636 3920071.6944544436, -39452.655083330465 3919466.037834478, -40081.727958520525 3919048.721759662, -41545.054363886244 3918770.9436142207, -41888.10960896383 3919633.0828598915, -43057.654251931235 3920692.7873142585, -43025.45458977239 3921037.2034987602, -42709.04089106282 3921233.6423668195, -42735.86511622905 3921396.6361944936, -43183.26644180971 3921469.1565607367, -42888.06083147274 3922786.824700955, -42192.0765151775 3924219.7010221677, -41380.185256371275 3924824.3332501897));19;25831
POLYGON ((1050024.5898630281 3925349.6299435813, 1050359.8771538618 3924921.0625489233, 1050774.6890818812 3924847.1785810743, 1050589.971637494 3924120.9193241517, 1051102.7533792858 3923523.220327542, 1051384.983993567 3923486.243278083, 1051764.2570225997 3922855.274748616, 1051739.2420314872 3922637.313672342, 1051852.2026719854 3922615.8656407436, 1051909.3935765557 3922793.887907679, 1052059.173812556 3922542.8211246114, 1052716.1504339434 3922536.1491616983, 1052898.89233228 3922193.889867658, 1052797.1252174468 3922188.690073258, 1052703.38801773 3922455.3768635266, 1052419.050635328 3922458.476022739, 1052390.4630836425 3922274.664574167, 1052315.774593709 3922462.021358835, 1052106.7278200944 3922464.3489451553, 1052136.3235537973 3922315.8528530146, 1051867.1859969706 3922264.6420138134, 1051844.6640113038 3922433.6300950795, 1051735.2374387914 3922340.657494137, 1051824.815318361 3922261.3357975767, 1051747.0973423503 3922114.1038093455, 1052033.906807005 3922089.982017375, 1051743.1320286884 3922078.3089441443, 1051658.5800957894 3921925.08940078, 1051650.8693877547 3921394.110500448, 1051779.5696369214 3921349.182852181, 1051693.3411153397 3921195.9448379367, 1051875.2271722918 3920833.2147682426, 1052226.338409606 3920481.884103948, 1052594.6811083872 3920440.257608206, 1052834.0238110488 3920903.6117430725, 1052586.777076926 3920263.2381135374, 1052012.6963716801 3919772.821351207, 1050593.5016108789 3919320.056205735, 1050148.647661503 3920134.4738573018, 1048859.3852896781 3921045.012790565, 1048849.680373771 3921390.821729983, 1049140.0270622857 3921624.118718233, 1049093.6749697195 3921782.6832047254, 1048640.750126671 3921800.5389731433, 1048774.3413100792 3923144.349525235, 1049291.8024210623 3924651.0695061767, 1050024.5898630281 3925349.6299435813));19;25829
POLYGON ((504314.32687618333 3908532.1524682143, 504621.85333240806 3908085.703970155, 505029.8946541922 3907987.1649991544, 504802.32277303014 3907276.104944326, 505276.1439559615 3906650.7520616762, 505554.5696418403 3906596.9319369937, 505893.61717307294 3905946.5694727837, 505855.5773436529 3905731.3340063235, 505966.61299188505 3905703.183191943, 506034.23699847277 3905876.7588408943, 506168.01855880325 3905618.045968925, 506820.9252034793 3905571.7337935376, 506981.9765965404 3905220.3507206677, 506880.46409976855 3905221.325594245, 506803.3559821303 3905492.183447279, 506520.7934857648 3905512.4372233497, 506481.2648193948 3905331.378217344, 506418.30797641753 3905522.199918487, 506210.5680991333 3905537.1395080094, 506231.0307379794 3905387.6843748405, 505960.30130621215 3905353.012587047, 505948.1103774934 3905522.4188028765, 505833.6788586981 3905436.5729302377, 505917.967146332 3905352.2835974046, 505831.7910115881 3905210.5655582286, 506115.5449222292 3905169.2582258377, 505825.6861937298 3905175.2096282733, 505732.35286465107 3905027.949704915, 505692.6230985276 3904500.394581544, 505817.8935755227 3904447.9464736665, 505722.89337185177 3904300.768569143, 505881.86637453636 3903929.0785660967, 506209.810394765 3903558.5105231656, 506573.58478465397 3903494.8808542443, 506839.56300336175 3903941.1985286376, 506555.03916164837 3903319.3267210857, 505954.5592094497 3902866.297492421, 504515.9354058576 3902501.7072580303, 504122.7081792609 3903338.453372085, 502895.5598832168 3904321.77956799, 502906.7883280917 3904666.2609692807, 503209.61494482204 3904880.734547246, 503173.0945072372 3905041.2200017315, 502723.7544352429 3905086.3276498015, 502937.7673731111 3906414.635217945, 503543.3910126315 3907881.748718504, 504314.32687618333 3908532.1524682143));19;25830
POLYGON ((-328674.6968000019 4207453.756599994, -328298.3484000001 4206904.361900002, -327798.7106999993 4206782.877099999, -328077.8660999973 4205908.371100002, -327498.10459999775 4205138.869499994, -327157.22740000294 4205072.468199995, -326742.6044000017 4204272.327199997, -326789.3496999989 4204007.653700001, -326653.4289999997 4203972.9438000005, -326570.49339999777 4204186.356600003, -326406.9156000029 4203868.0745, -325607.5999999986 4203810.541400001, -325410.7577000014 4203378.267999999, -325535.03379999724 4203379.5628, -325629.18349999975 4203712.727299999, -325975.1041000013 4203737.891900001, -326023.6581000001 4203515.264600004, -326100.56789999985 4203749.988399995, -326354.8900999983 4203768.5398999965, -326329.964200001 4203584.725100005, -326661.43990000203 4203542.311800002, -326676.22809999867 4203750.6540999925, -326816.3940000038 4203645.174000003, -326713.26899999985 4203541.449599997, -326818.88419999735 4203367.2396, -326471.5320999996 4203316.2109, -326826.386000003 4203323.765600002, -326940.7636999993 4203142.748499997, -326989.80960000167 4202494.050599999, -326836.5003999981 4202429.459499992, -326952.9090999995 4202248.5589000005, -326758.6022999998 4201791.402599998, -326357.4852999989 4201335.499999998, -325912.2720000011 4201256.949099999, -325586.2954000019 4201805.474799997, -325935.12830000237 4201041.120899996, -326670.4790000006 4200484.649800001, -328431.483599998 4200037.445399994, -328912.28080000234 4201066.4064, -330413.92279999825 4202276.0554, -330400.04179999925 4202699.643699996, -330029.23429999663 4202963.253699997, -330073.87379999587 4203160.621200006, -330623.9527999966 4203216.272100002, -330361.42050000164 4204849.772999994, -329619.17850000266 4206654.072599997, -328674.6968000019 4207453.756599994));19;3857
